N,E,Z
21,-0.5,10.08
21,-0.25,10.08
21,0,10.08
21,0.25,10.08
21,0.5,10.08
21,0.75,10.08
21,1,10.07
21,1.25,10.07
21,1.5,10.07
21,1.75,10.07
21,2,10.07
21,2.25,10.07
21,2.5,10.07
21,2.75,10.07
21,3,10.07
21,3.25,10.07
21,3.5,10.07
21,3.75,10.07
21,4,10.06
21,4.25,10.06
21,4.5,10.06
21,4.75,10.06
21,5,10.06
21,5.25,10.06
21,5.5,10.06
21,5.75,10.06
21,6,10.05
21,6.25,10.05
21,6.5,10.05
21,6.75,10.05
21,7,10.05
21,7.25,10.05
21,7.5,10.05
21,7.75,10.04
21,8,10.04
21,8.25,10.04
21,8.5,10.04
21,8.75,10.04
21,9,10.03
21,9.25,10.03
21,9.5,10.03
21,9.75,10.03
21,10,10.02
21,10.25,10.02
21,10.5,10.02
21,10.75,10.02
21,11,10.02
21,11.25,10.01
21,11.5,10.01
21,11.75,10.01
21,12,10
21,12.25,10
21,12.5,10
21,12.75,10
21,13,9.99
21,13.25,9.99
21,13.5,9.99
21,13.75,9.99
21,14,9.98
21,14.25,9.98
21,14.5,9.98
21,14.75,9.97
21,15,9.97
21,15.25,9.97
21,15.5,9.96
21,15.75,9.96
21,16,9.96
21,16.25,9.95
21,16.5,9.95
21,16.75,9.95
21,17,9.94
21,17.25,9.94
21,17.5,9.94
21,17.75,9.93
21,18,9.93
21,18.25,9.92
21,18.5,9.92
21,18.75,9.92
21,19,9.91
21,19.25,9.91
21,19.5,9.9
21,19.75,9.9
21,20,9.89
21,20.25,9.89
21,20.5,9.88
21,20.75,9.88
21,21,9.87
21,21.25,9.86
21,21.5,9.86
21,21.75,9.85
21,22,9.85
21,22.25,9.84
21,22.5,9.84
21,22.75,9.83
21,23,9.82
21,23.25,9.82
21,23.5,9.81
21,23.75,9.8
21,24,9.8
21,24.25,9.79
21,24.5,9.79
21,24.75,9.78
21,25,9.77
21,25.25,9.77
21,25.5,9.76
21,25.75,9.75
21,26,9.75
21,26.25,9.74
21,26.5,9.73
21,26.75,9.73
21,27,9.72
21,27.25,9.71
21,27.5,9.71
21,27.75,9.7
21,28,9.69
21,28.25,9.69
21,28.5,9.68
21,28.75,9.67
21,29,9.66
21,29.25,9.66
21,29.5,9.65
21,29.75,9.64
21,30,9.63
21,30.25,9.63
21,30.5,9.62
21,30.75,9.61
21,31,9.6
21,31.25,9.6
21,31.5,9.59
21,31.75,9.58
21,32,9.58
21,32.25,9.57
21,32.5,9.56
21,32.75,9.55
21,33,9.55
21,33.25,9.54
21,33.5,9.53
21,33.75,9.53
21,34,9.52
21,34.25,9.51
21,34.5,9.5
21,34.75,9.5
21,35,9.49
21,35.25,9.48
21,35.5,9.47
21,35.75,9.46
21,36,9.46
21,36.25,9.45
21,36.5,9.44
21,36.75,9.44
21,37,9.43
21,37.25,9.43
21,37.5,9.42
21,37.75,9.41
21,38,9.41
21,38.25,9.4
21,38.5,9.4
21,38.75,9.39
21,39,9.39
21,39.25,9.38
21,39.5,9.37
21,39.75,9.37
21,40,9.36
21,40.25,9.36
21,40.5,9.35
21,40.75,9.34
21,41,9.34
21,41.25,9.33
21,41.5,9.33
21,41.75,9.32
21,42,9.31
21,42.25,9.31
21,42.5,9.3
21,42.75,9.3
21,43,9.29
21,43.25,9.28
21,43.5,9.28
21,43.75,9.27
21,44,9.27
21,44.25,9.26
21,44.5,9.25
21,44.75,9.25
21,45,9.24
21,45.25,9.24
21,45.5,9.23
21,45.75,9.22
21,46,9.22
21,46.25,9.21
21,46.5,9.21
21,46.75,9.2
21,47,9.19
21,47.25,9.19
21,47.5,9.18
21,47.75,9.18
